idAS,nom_orga,nom_event,genre,nb_abonne
58,VANACOF DM,Prestigio,Comedy|Crime|Drama,238713
65,Zyclara,Philips,Drama,110376
51,Rocuronium Bromide,BlackBerry,Drama|Musical|Romance,432721
46,ShopRite Pain Relief PM,Lenovo,Documentary,392465
89,Montelukast,verykool,Animation|Children|Comedy,416181
31,Antibacterial Foaming Hand Cleanser,Nokia,Action|Comedy,427454
25,Minocycline Hydrochloride,Yezz,Comedy|Drama|Horror,415103
48,Pure Transformation Sheer Fair,Samsung,Comedy,492232
88,Personal Care Antibacterial Foaming Hand Wash,vivo,Crime,406803
32,acid controller,Samsung,Action|Horror|Sci-Fi,223252
42,H-E-B,Meizu,Drama,76494
12,SUPERDEFENSE DAILY DEFENSE MOISTURIZER BROAD SPECTRUM SPF20 (VERY DRY - DRY COMB),Tecno,Comedy|Drama,158581
44,Anusol,Samsung,Comedy|Romance,335350
85,BENLYSTA,Nokia,Horror,24517
34,Dilantin,Sony,Action|Adventure|Sci-Fi,24395
8,Regular Strength Aspirin,alcatel,Comedy|Romance,34245
66,Povidone Iodine Surgical Scrub,Micromax,Comedy|Drama,144437
24,Cocoa,i-mobile,Drama,393433
80,Good Neighbor Pharmacy Triple Antibiotic,WND,Drama,253573
78,Depressoforce,Sharp,Horror|Mystery|Thriller,197164
56,Flumazenil,VK,Drama|Musical,241740
47,Diphenoxylate Hydrochloride and Atropine Sulfate,Ericsson,Comedy|Drama,471087
65,FIKES INSTANT HAND SANITIZER,Motorola,Adventure|Comedy|Drama|Romance,21129
40,Leader Day Time,Haier,Action|Horror|Thriller,258110
71,OXYGEN,verykool,Drama|Romance|War,254211
54,All Day Pain Relief,ZTE,Comedy|Romance,328326
40,Antiseptic Mouth Rinse,Spice,Sci-Fi,417476
45,Midazolam,Xiaomi,Comedy|Crime,34494
86,Cilostazol,Vodafone,Comedy|Drama,418721
81,Antipyrine and Benzocaine,LG,Children|Sci-Fi,291848
36,Marcaine,LG,Comedy|Romance,450989
32,Isosorbide Dinitrate,Coolpad,Drama|Thriller,19423
54,Cenestin,Dell,Horror,465510
67,IBU,Sony,Drama,101608
94,Lisinopril,Micromax,Documentary,208129
45,equate sinus,BLU,Comedy|War,221033
57,Vancomycin Hydrochloride,Posh,Crime|Horror|Thriller,343986
24,ENJUVIA,Xiaomi,Horror|Thriller,263789
29,Betapace,alcatel,Action,90274
81,Levothyroxine Sodium,Motorola,Comedy|Drama|Romance,485353
43,Good Neighbor Pharmacy,Lenovo,Crime|Mystery|Thriller,291095
48,No7 Stay Perfect Foundation Compact Sunscreen SPF 15 Almond,LG,Drama,288474
12,Rimmel BB Cream 9-IN-1 Skin Perfecting Super Makeup,Sagem,Documentary,200901
18,AQUA COLLAGEN SOLUTION MARINE HYDROGEL MASK,Icemobile,Drama,126582
42,Carbamazepine,Motorola,Drama|Horror|Sci-Fi,379420
88,Goodys Headache Relief Shot,Gionee,Comedy,373358
55,Cilostazol,Samsung,Drama|Romance|Sci-Fi,65490
91,Eggplant,Nokia,Drama,344824
68,Ibuprofen,ZTE,Drama,133579
77,Allertness Aid,Samsung,Adventure|Comedy,11693
60,Halls,alcatel,Action|Adventure|Fantasy|Sci-Fi,223654
31,Trilipix,Celkon,Drama,438135
73,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Calico,Apple,Comedy|Drama,481314
65,Pleo Sanuvis,ZTE,Drama,120244
1,Sugared Pear Antibacterial Hand Sanitizer,Micromax,Action|Adventure|Romance,289719
42,Fentanyl,Sony,Crime|Drama,372244
37,Leucovorin Calcium,Lava,Horror|Romance|Thriller,202701
60,montelukast sodium,Archos,Children|Comedy|Fantasy|Horror,84747
38,CitraNatal 90 DHA,Nokia,Horror,285228
62,SEROQUEL,Motorola,Drama|Romance,32730
22,Argentum Viscum,HTC,Crime|Mystery|Thriller,379783
43,Quercetin,Acer,Drama,120570
77,Thioridazine Hydrochloride,HP,Children|Comedy|Musical,186155
36,Selegiline Hydrochloride,Siemens,Horror,487169
57,Mucus Relief DM,Lenovo,Children|Drama,348232
62,Minoxidil,Motorola,Drama,203681
30,Ibuprofen,Mitsubishi,Action|Drama|War,388536
67,healthy accents nasal,Lava,Documentary,218137
43,Triglide,Samsung,Action|Crime|Drama,320423
94,Fluocinonide,Motorola,Crime|Drama,394157
53,OXYGEN,Meizu,Comedy|Drama,33406
59,Ionite APF,Samsung,Horror,478473
17,CVS Fast Clearing Medicated Pads,alcatel,Comedy|Sci-Fi,317449
70,Icy Hot Back and Large Areas,BlackBerry,Comedy|Romance,494920
100,Propranolol Hydrochloride,Sony,Comedy|Musical,423229
76,Halls,Nokia,Comedy|Drama,233482
34,Ciloxan,Samsung,Adventure|Animation|Children|Comedy|Romance,384107
22,PDI Alcohol Prep Pad,Sony,Horror|Mystery|Thriller,228497
47,Kroger Waterless Hand Sanitizer Citrus Scent With Moisturizers And Vitamin E,Coolpad,Documentary,50366
62,Promethazine hydrochloride,Plum,Action|Adventure|Sci-Fi,489511
99,SHISEIDO SUN PROTECTION FOUNDATION,Pantech,Horror,476492
27,Pfizerpen,Samsung,Horror|Thriller,22529
73,Tussin Original,Nokia,Action|Adventure|Thriller,93723
40,Ibuprofen,Haier,Drama|Romance,439225
100,OB Cleansing Towelette,Celkon,Comedy|Drama,215082
18,Salsalate,verykool,Documentary,453335
48,KARIVA,Motorola,Children|Drama,406701
11,Doxercalciferol,Samsung,Drama|Thriller,355715
92,NARS ALL DAY LUMINOUS FOUNDATION,Samsung,(no genres listed),417629
40,Ibuprofen,T-Mobile,Action|Adventure|Documentary,278114
27,IBUPROFEN,NEC,Comedy|Drama,240687
93,Cattle Epithelium,Motorola,(no genres listed),388849
4,Herpes Sores,Micromax,Crime|Drama|Mystery|Thriller,117952
6,Bioelements,alcatel,Drama,20957
25,AmmoniaN 13,QMobile,Comedy|Horror|Thriller,105801
63,Ropinirole Hydrochloride,Samsung,Comedy,38920
83,Calcipotriene,Apple,Drama,186698
65,GUNA-DIUR,HTC,Drama|Thriller,429194
57,MILRINONE LACTATE,BenQ,Comedy|Fantasy|Romance,142439
41,Nifedipine,Samsung,Comedy|Drama|Romance,418654
54,Aspirin Chewable,Lava,Romance,217477
36,RANITIDINE,NEC,Drama|Horror|Sci-Fi,422289
92,Healing,alcatel,Comedy,484121
17,RIBASPHERE RibaPak,Sharp,Drama|Fantasy|Horror|Sci-Fi,148447
7,NEO CLASSIC HOMME BB,BLU,Crime|Mystery,249640
11,Mirtazapine,Wiko,Action|Adventure|Comedy,183950
38,Doxepin Hydrochloride,Philips,Comedy|Drama,478733
9,Tork Hand Sanitizer Alcohol Free Foam,BlackBerry,Drama,327323
77,CLARINS Skin Illusion SPF 10 Natural Radiance Foundation Tint 112,Asus,Drama,416274
93,Dr.Denese SPF 30 Defense Day,HP,Action|Adventure|Drama|Thriller|War,101120
26,heartburn prevention,Micromax,Drama|Romance,328346
63,Simvastatin,Plum,Crime|Thriller,242018
86,LEVOXYL,Samsung,Drama,277808
62,Baptisia Tinctoria Kit Refill,LG,Comedy,436663
95,Miacalcin,Yezz,Horror|Mystery|Thriller,197808
61,SHOPKO ADVANCED FORMULA EYE DROPS,Samsung,Comedy,494755
84,Anti-Itch Extra Strength,O2,Animation|Documentary|War,63326
96,Colgate Sensitive Complete Protection,Haier,Drama,169177
68,Diovan,Lava,Drama,481259
50,DRONABINOL,Lenovo,Action|Comedy,52903
96,Follistim AQ,Bird,Action|Drama,426862
35,DentiCare Pro-Gel,Posh,Horror,371413
100,Amlodipine Besylate,Motorola,Comedy|Romance,117859
75,Renagel,Siemens,Comedy|Drama,396731
16,SUNMARK Calcium Antacid,i-mate,Action|Adventure|Drama,498173
74,SPF30 EVERYDAY/YEAR-ROUND SUNSCREEN,BLU,Crime|Drama,290763
37,AK-Con,Apple,Action|Drama,133953
20,COLLAGEN HD MAKE UP BASE,Micromax,Comedy|Western,203037
90,Sucralfate,Motorola,Horror|Thriller,205980
5,Digestive Care,Samsung,Action|Sci-Fi,407414
9,Hand Sanitizer,Amazon,Comedy|Drama,84807
12,Leader Cardinal Health Aspirin,Motorola,Animation|Comedy|Drama,307041
83,Naproxen Sodium,Micromax,Drama|Mystery|Thriller,85768
14,MINTOX,Prestigio,Drama|Romance,350306
17,Topiramate,BlackBerry,Documentary,264475
40,Ropinirole Hydrochloride,BLU,Comedy|Sci-Fi,243247
30,Rite Aid RENEWAL,Plum,Comedy|Romance,70300
80,ACYCLOVIR,QMobile,Animation|Children|Comedy,302634
78,Remedy Nutrashield,Xiaomi,Drama,348853
80,REVITALIZING C,Samsung,Action|Crime,18684
21,Priftin,alcatel,Documentary,366923
29,ShopRite Adult Tussin,Celkon,Action|Horror|Sci-Fi|Western,176127
17,Anti Diarrheal,Wiko,Drama,70463
32,OXCARBAZEPINE,BLU,Comedy|Romance,107706
99,Promethazine Hydrochloride,Samsung,Crime|Drama,383940
60,MESQUITE POLLEN,Lenovo,Action|Thriller,231058
1,flormar BB Sheer Tinted Beauty Sunscreen Broad Spectrum SPF 15 03 Dark Medium,Icemobile,Action|Crime|Thriller,86778
98,SULINDAC,Samsung,Drama,493662
36,Salonpas pain relieving GEL-PATCH HOT,Sony,Action|Animation|Crime,312521
92,Ranitidine,Acer,Horror,242208
4,Teveten HCT,XOLO,Drama|Thriller,242828
29,Berry Scented Hand Sanitizer,LG,Documentary,274819
76,Albuterol Sulfate,Allview,Drama,173176
54,cold and flu relief,Sony,Horror|Thriller,110165
28,7 Select Naproxen Sodium,Samsung,Drama|Mystery,472373
29,POA ANNUA POLLEN,Micromax,Crime|Mystery|Thriller,415025
63,Ibuprofen,BLU,Comedy|Drama|Romance,474193
20,jock itch,Kyocera,Crime|Drama|Thriller,192620
54,Triple Antibiotic,Apple,Drama|Mystery,24992
79,Warfarin Sodium,Sagem,Drama,30928
83,Ciprofloxacin,HTC,Comedy|Romance,250691
92,Gemcitabine hydrochloride,Samsung,Drama,104245
71,Secret,BlackBerry,Comedy|Mystery,15695
89,Zofran,QMobile,Action|Comedy,463492
66,Hydrocodone Bitartate and Acetaminophen,Ericsson,Drama|Romance,489579
42,Neosporin Plus Pain Relief,Samsung,Drama|Horror|Mystery|Thriller,268156
28,Vitality,Nokia,Adventure|Drama,147477
4,BENZTROPINE MESYLATE,Sagem,Drama|Romance,399623
70,Banana Boat Baby Tear Free Lotion SPF 50,alcatel,Drama|War,298723
29,Visipaque,Samsung,Horror|Thriller,174928
99,Medi-first Antiseptic First Aid,vivo,Mystery,299030
82,Ropivacaine HCl,Gigabyte,Adventure|Children|Comedy|Fantasy,18040
6,Berberis Larix Urinary Tract Relief,Apple,Drama|War,297361
64,Ondansetron Hydrochloride,Nokia,Drama,69859
15,LOVASTATIN,alcatel,Drama|Thriller,169094
32,Laxative,Realme,Action|Adventure|Animation|Fantasy,494387
53,Risperidone,Samsung,Crime|Horror|Mystery,225458
95,Ramipril,BLU,Animation|Fantasy,52580
96,OXYGEN,BlackBerry,Drama|Fantasy,458757
24,PERCOCET,Lenovo,Drama,451891
85,Nystatin,Yezz,Comedy|Drama,201114
49,Treatment Set TS350535,HTC,Documentary,392392
90,Clotrimazole and Betamethasone Dipropionate,vivo,Comedy|Documentary,83976
96,Moore Medical Cherry Cough Suppressant/Anesthetic Drops,BLU,Horror,57113
42,Be-Dry,i-mate,Action|Drama,51720
99,HARRIS TEETER,Sony,Drama|Romance|War,173608
2,ENALAPRIL MALEATE,Motorola,Comedy|Romance,149361
40,Promethazine VC,Lava,Documentary,124737
35,Soothanol X2,Honor,Comedy,204207
86,LYCOPODIUM CLAVATUM,Samsung,Animation,118618
24,naltrexone hydrochloride,LG,Comedy,263957
35,Technetium Tc99m Generator,Oppo,Crime|Drama|Mystery,34517
36,CELEBREX,Nokia,Drama,458666
98,TIMOLOL MALEATE,Allview,Action|Drama,98051
9,JALYN,Sonim,Horror|Sci-Fi,276777
64,Duloxetine,Sony,Documentary,214021
56,Lisinopril,TCL,Adventure|Children|Comedy|Fantasy,406408
45,Candesartan Cilexetil and Hydrochlorothiazide,OnePlus,Comedy|Romance,352019
33,Labetalol HCl,Vertu,Horror|Thriller,80190
45,Sulfacetamide Sodium,Motorola,Comedy|Crime|Mystery,84524
64,LEVOXYL,Philips,Comedy,307479
30,Isosorbide Mononitrate,BenQ-Siemens,Comedy|Romance,345367
9,"Oral Cleansing and Suctioning System, q2",XOLO,Documentary,415858
80,Lithiumeel,Parla,Action|Thriller,21978
48,Gentiana Absinthium,Motorola,Drama,128223
63,GENTAMICIN SULFATE,Panasonic,Comedy,283325
92,DG Health Ibuprofen,Allview,Musical,458840
14,nanocare,Celkon,Drama,421844
46,Scalpicin Medicated Wipes,Panasonic,Comedy|Drama|Musical,120746
6,Dove Men plus Care,LG,Horror|Thriller,77708
76,Zicam,Nokia,Action|Adventure|Crime|Thriller,261095
3,Amantadine HCl,Nokia,Comedy|Drama|Romance,163553
36,2in1,Celkon,Documentary,348080
84,SIMVASTATIN,alcatel,Comedy|Romance,459562
85,Childrens Ibuprofen,BLU,Adventure|Children,249308
96,Mydriacyl,Meizu,Crime,463783
73,CVS PHARMACY,Samsung,Comedy,12505
38,shoprite nasal four,vivo,Drama|Thriller,491690
33,Sore Throat Relief,Karbonn,Documentary,140663
82,Breech Baby,TCL,Drama,66310
40,Ulta Pomegranate Lime Anti-Bacterial Deep Cleansing,Honor,Action|Crime,470309
53,ENDOCET,Spice,Comedy|Sci-Fi,467695
40,Acid Reducer,Celkon,Animation|Children|Comedy,377743
56,Hydrocodone Bitartate and Acetaminophen,LG,Comedy|Horror|Thriller,82114
53,NAT. PHOS.,BLU,Comedy|Western,309538
80,Sleeplessness Relief,Allview,Comedy|Fantasy,434276
3,"Pollens - Trees, Alder, Red Alnus rubra",Yezz,Comedy,180265
58,Safetussin,Allview,Drama|Romance,11867
49,Q Tussin DM,Sharp,Drama,226596
66,meloxicam,Huawei,Comedy|Musical|Romance,163397
32,Aurum Lavender Rose,Samsung,Comedy|Fantasy,340710
87,Gonal-f RFF Pen,Motorola,Children|Musical|Romance,296344
61,Bioelements,Orange,Comedy|Sci-Fi,453901
11,California Live Oak,Micromax,Thriller,41668
30,MARVEL ULTIMATE SPIDER-MAN ANTIBACTERIAL HAND WIPES,Motorola,Drama,483000
46,Potassium Chloride in Dextrose and Sodium Chloride,Nokia,Action|Adventure|Comedy,103056
97,CANDIDA YEAST RELIEF,BLU,Drama,268825
9,LBEL EFFET PARFAIT Spots Reducing Effect Foundation SPF 18 - OBSCURE 10,Infinix,Drama,240305
39,Pepcid,Motorola,Mystery,456476
45,SULWHASOO EVENFAIR COMPACT NO.21,Samsung,Documentary,61101
85,ACTIVE RESURGENCE,vivo,Comedy,81517
12,METOPROLOL SUCCINATE,Vodafone,Horror|Sci-Fi|Thriller,300330
78,UltrasolSunscreen,Samsung,Action|Crime|Drama,150088
3,Ibuprofen,Samsung,Comedy|Drama|Romance,240026
29,Persantine,Samsung,Documentary|Musical,160330
95,Glyburide,Asus,Drama|Horror,211837
55,Stage Fright - Fear,Oppo,Documentary,160380
87,Goose Meat,HTC,Comedy|Drama,46914
79,Hemorrhoidal,Lava,Drama,250677
37,Haloperidol Decanoate,Acer,Comedy,339767
10,Olanzapine,Acer,Drama,437347
96,Sani Soft,Panasonic,Drama,290358
73,AMERGE,LG,Adventure,461623
37,ZEA MAYS POLLEN,Huawei,Drama|Romance,208092
76,Oxcarbazepine,Gigabyte,Drama,228249
78,Sally Hansen Ouch-Relief,Gionee,Drama|Romance,206618
92,Carbamazepine,LeEco,Comedy,460187
48,Horse Fly,Gionee,Adventure|Drama,83752
7,DELFLEX,Micromax,Horror,140305
73,Venlafaxine Hydrochloride,Micromax,Documentary,278132
5,AQUAFRESH,i-mate,Horror|Mystery|Thriller,225440
30,Levothyroxine Sodium,Meizu,Comedy,61618
82,Metformin Hydrochloride,Samsung,Comedy|Romance,339118
58,OPANA,Xiaomi,Musical,439880
47,Servo-Stat P,Huawei,Action|Comedy|Crime|Thriller,449523
9,Cantaloupe,Oppo,Action|Adventure|Romance,385966
8,Cephalexin,HP,Drama,167033
80,Marcaine,Asus,Documentary,364793
67,Diltiazem HCl,Lenovo,Comedy,408360
57,Caraway Seed,Lenovo,Drama,371896
82,Lovenox,Archos,Drama|Mystery|Romance,262521
80,HELIOX,Samsung,Drama,439051
14,Leader Childrens Ibuprofen,Xiaomi,Adventure|Children|Fantasy,132596
99,LISINOPRIL AND HYDROCHLOROTHIAZIDE,Asus,Horror|Sci-Fi|Thriller,394947
71,Ear,Sony,Drama|Romance,156345
68,Buspirone Hydrochloride,Xiaomi,Comedy,388420
11,Avon Sun,BlackBerry,Crime|Drama|Thriller,23084
34,Harmon Face Values Daily Facial,Haier,Drama,207174
98,ENDOCET,Samsung,Drama,412398
69,ORIGINAL POWER WHITENING AND LINELESS AMPOULE,Huawei,Crime|Drama|Thriller,198693
55,Hydrochlorothiazide,Samsung,Comedy|Drama|Romance,421331
93,Inflammation,HTC,Drama,278793
87,PPH Prevention,Oppo,Documentary,306183
17,Hand Sanitizing Wipes,LG,Horror,224381
99,ClindaMax,Motorola,Animation|Children,364809
5,Injuries,Motorola,Drama,385022
2,IOPE S.S. CONDITIONING COLOR BASE No.60,Samsung,Thriller,137290
45,LINGERIE DE PEAU BB INVISIBLE SKIN-FUSION MULTI-PERFECTING MAKEUP WITH SUNSCREEN BROAD SPECTRUM SPF 30 MEDIUM,T-Mobile,Drama|Thriller,313019
93,TC EnrichedFoam,Samsung,Action|Drama|Thriller,301033
89,Nitrogen,Sagem,Comedy,22383
44,LBEL COULEUR LUXE AMPLIFIER XP,Samsung,Comedy|Drama|Fantasy|Musical,78182
91,Medique Pain Off,alcatel,Animation|Fantasy,324988
82,NOEVIR 5 TREATMENT LIQUID FOUNDATION LX,ZTE,Comedy,376049
100,TRUEplus diabetics foot care,Huawei,Comedy,350368
70,em michelle phan the everything tinted makeup cc,vivo,Drama,303577
32,MOIST MOISTURE CC,Sagem,Comedy,413505
11,Valacyclovir hydrochloride,Infinix,Comedy|Drama,109520
96,Idole Natural Organic,Energizer,Action|Crime|Drama|Thriller,302162
7,Piroxicam,Micromax,Crime|Drama,312322
97,BLATELLA GERMANICA,Samsung,Adventure|Children|Comedy,113954
17,Avena Valeriana,Acer,Comedy|Drama,292967
95,OraLabs ChapIce Cherry SPF 4 Lip Balm,alcatel,Film-Noir|Mystery|Romance|Thriller,304713
68,Crab,Intex,Crime|Drama,98338
26,Old Spice Red Zone Sweat Defense,Philips,Comedy|Romance,207452
98,pravastatin sodium,QMobile,Horror,243464
32,Kiss My Face - Face Factor SPF 30,Pantech,Adventure|Drama|Fantasy|Film-Noir,129769
55,Darby,Nokia,Drama|Romance,104910
49,good sense miconazole 1,Celkon,Drama,404982
97,Amlodipine besylate,Oppo,Comedy,413782
5,Estradiol,Cat,Sci-Fi,495722
34,Carbamazepine,BLU,Documentary,14065
44,HA HP,Mitsubishi,Adventure|Comedy|Crime,224368
59,Verapamil Hydrochloride,Lava,Horror,327417
23,Treatment Set TS349357,Motorola,Western,328120
11,Pain Relief,ZTE,Action|Adventure|Drama|Thriller|Western,250423
65,Secret Antiperspirant,Mitac,Comedy|Drama,271512
20,Diclofenac Sodium,Huawei,Comedy,174696
23,Mirtazapine,Samsung,Comedy,110040
27,Gabapentin,Motorola,Drama|Romance|Thriller|War,323916
46,Crest Complete Multi-Benefit Extra Whitening,Energizer,Action|Adventure|Fantasy|Thriller,135236
77,Loratadine and Pseudoephedrine,NEC,Action,270129
28,ibuprofen,Allview,Comedy,161918
77,Cough and Cold HBP,Motorola,Drama,383708
95,Atenolol and Chlorthalidone,Qtek,Action|Comedy|Crime|Thriller,339150
37,ProState Relief,Samsung,Action,91360
6,ESIKA Extreme Moisturizing SPF 16,QMobile,Comedy|Romance,225666
46,FAMILY WELLNESS MEDICATED WIPES,ZTE,Action|Crime|Drama|Thriller,83144
49,ARIZONA CYPRESS POLLEN,Bird,Adventure|Drama|War,326485
41,PROPRANOLOL HYDROCHLORIDE,LG,Action|Fantasy|Horror|Thriller,488720
97,Bayer,Unnecto,Drama|Romance|War,453405
15,Rapid Comfort Extra Strength Non Aspirin,Nokia,Comedy|Drama,449168
68,Smooth Brome Pollen,Xiaomi,Drama,99192
62,LIDOCAINE AND PRILOCAINE,Micromax,Comedy|Drama,206680
73,Amlodipine and Atorvastatin,Philips,Adventure|Musical,341648
23,ORAL ASSIST,Samsung,Drama,369770
84,Mushroom,Lenovo,Drama,394442
57,good neighbor pharmacy day time,Coolpad,Comedy|Musical|Romance,302784
81,Theophylline,vivo,Comedy|Romance,114091
83,Aspirin,Xiaomi,Action|Adventure,184546
42,Metolazone,Nokia,Film-Noir|Horror|Mystery|Thriller,493399
19,BRAZIL NUT,vivo,Mystery|Thriller,208259
72,Amoxicillin,HTC,Action|Thriller,373169
22,Topcare stay awake,HTC,Comedy,102985
76,LEVOXYL,Honor,Comedy,433695
39,Chlorthalidone,alcatel,Thriller,319857
95,Antibacterial,Micromax,Drama,417555
98,LOCCITANE,Nokia,Action|Western,268184
61,Pecan Pollen,VK,Drama|Fantasy,149174
40,ibuprofen,Philips,Children|Comedy,431302
82,Spatherapy,BlackBerry,Drama|Fantasy|Sci-Fi,378812
