idAS,nom_event,date_event,organisateur,genre
3,Google,5/12/2024,Gembucket,Comedy
64,Philips,10/17/2024,Latlux,Action|Drama|Sci-Fi
58,Lenovo,8/26/2022,Voyatouch,Drama|Romance
91,Samsung,4/26/2024,Konklux,Crime|Drama
83,BlackBerry,7/14/2022,Stringtough,Adventure|Drama|Thriller
23,Huawei,3/13/2024,Matsoft,Comedy
96,Sagem,3/18/2021,Veribet,Comedy|Documentary
58,Amoi,9/26/2021,Duobam,Animation
43,Micromax,2/22/2022,Home Ing,Thriller
86,Allview,6/16/2021,Tresom,Comedy|Fantasy
60,alcatel,4/26/2023,Subin,Crime|Drama|Film-Noir
46,BLU,9/29/2024,Zontrax,Comedy
35,Sony,4/20/2020,Redhold,Adventure|Fantasy|Sci-Fi
79,alcatel,6/22/2022,Tresom,Action|Drama|Romance|War
54,Plum,7/27/2021,Stim,Comedy
52,Samsung,1/7/2020,Stronghold,Comedy|Drama
88,Panasonic,7/10/2024,Latlux,Comedy
96,alcatel,1/23/2022,Span,Comedy
4,Panasonic,12/24/2022,Transcof,Comedy
85,Ericsson,6/5/2024,Zathin,Drama
5,Nokia,4/12/2023,Treeflex,Musical
47,vivo,3/24/2020,Latlux,Crime|Film-Noir|Mystery|Romance
35,Apple,4/3/2021,Konklux,Drama|Musical
98,Samsung,12/18/2022,Job,Documentary
70,Celkon,5/24/2024,Regrant,Mystery|Thriller
61,Samsung,3/31/2022,Greenlam,Comedy|Drama
38,Samsung,5/10/2022,Redhold,Drama|Horror|Sci-Fi
38,Motorola,4/26/2020,Domainer,(no genres listed)
74,Motorola,7/13/2020,Stim,Drama|Romance|War
56,Siemens,4/20/2021,Biodex,War
58,Celkon,8/18/2022,Fixflex,Drama|Film-Noir|Mystery
13,Samsung,1/30/2024,Overhold,Drama|Horror|Mystery|Thriller
4,Nokia,9/18/2022,Transcof,Adventure|Drama
47,XOLO,11/20/2022,Tres-Zap,Drama|Fantasy|Romance
23,vivo,11/12/2023,Mat Lam Tam,Comedy|Drama
70,ZTE,1/1/2021,Alpha,Documentary
32,Ericsson,5/16/2022,Tres-Zap,Comedy
7,ZTE,12/3/2023,Fintone,Crime|Horror|Mystery|Thriller
27,Honor,7/25/2020,Temp,Drama
85,Philips,9/3/2022,Biodex,Comedy|Romance
33,QMobile,2/17/2021,Bitwolf,Drama|War
100,Pantech,5/4/2020,Stim,Drama|Romance
69,LG,9/3/2024,Redhold,Action|Comedy
4,Panasonic,2/13/2022,Matsoft,Action|Drama
67,Motorola,1/19/2025,Solarbreeze,Drama
26,Asus,3/20/2024,Transcof,Drama|Fantasy|Romance
37,Samsung,11/24/2023,Home Ing,Comedy|Drama|Romance
72,Samsung,2/5/2025,Asoka,Drama|Horror|Mystery|Thriller
38,Motorola,9/28/2023,Keylex,Drama
30,Archos,7/19/2020,Voyatouch,Drama|Mystery|War
93,Sony,10/24/2021,Hatity,Comedy
16,Samsung,11/7/2024,Voltsillam,Drama|Horror|Mystery
15,Nokia,7/10/2023,Konklab,Documentary
69,Intex,12/7/2022,Sub-Ex,Crime|Drama|Romance
12,i-mobile,1/15/2020,Zaam-Dox,Drama
50,Philips,4/5/2020,Sub-Ex,Comedy|Crime|Drama|Thriller
30,i-mobile,1/28/2024,Wrapsafe,Documentary
93,Karbonn,9/4/2020,Bytecard,Horror
68,vivo,9/27/2024,Konklux,Drama
85,BLU,2/18/2021,Cardify,Comedy|Drama|Romance|Thriller
54,Sewon,2/24/2021,Rank,Action|Crime|Drama|Thriller
82,Nokia,11/8/2020,Lotstring,Crime|Drama|Film-Noir
5,BLU,1/18/2022,Transcof,Comedy|Romance
64,Acer,12/13/2020,Zamit,Drama
75,XOLO,11/8/2021,Alpha,Documentary
69,Lenovo,5/13/2023,Trippledex,Drama
14,Eten,3/19/2021,Temp,Adventure|Drama|War
22,vivo,4/20/2021,Ronstring,Comedy|Romance
53,Philips,11/22/2023,Tin,Comedy|Drama
52,Nokia,4/16/2022,Wrapsafe,Action|Comedy|Crime|Romance
46,Vertu,5/22/2021,Viva,Crime|Drama|Fantasy
29,i-mate,11/2/2023,Tin,Crime|Drama
56,BLU,9/8/2021,Latlux,Action|Western
4,Icemobile,12/16/2021,Trippledex,Action|Adventure|Crime|Thriller
96,Allview,12/1/2024,Veribet,Drama
10,Samsung,7/1/2022,Stim,Comedy|Drama
62,Lava,2/14/2025,Cookley,Crime|Drama
63,Xiaomi,7/5/2020,Zathin,Comedy|Crime
31,Sagem,8/30/2023,Sonair,Horror
39,LG,11/29/2024,Cookley,Drama
76,Samsung,2/7/2023,Zathin,Comedy
85,Asus,7/1/2023,Regrant,Horror
77,Samsung,2/28/2022,Namfix,Comedy
43,Apple,7/2/2020,Andalax,Drama|Thriller
39,Amoi,10/15/2024,Biodex,Drama
73,Asus,8/13/2024,Konklux,Documentary|Drama
77,vivo,11/12/2022,Temp,Action|Sci-Fi
39,Micromax,4/7/2020,Ventosanzap,Comedy
20,Nokia,8/25/2024,Overhold,Horror
75,Archos,7/25/2020,Gembucket,Adventure|Comedy
83,Samsung,12/28/2021,Tin,Drama
84,BenQ-Siemens,8/9/2022,Stringtough,Drama
80,BlackBerry,6/7/2023,Redhold,Action|Comedy
4,Lava,9/16/2020,Cookley,Comedy
57,Xiaomi,10/16/2021,Overhold,Comedy|Documentary
40,Microsoft,9/29/2020,Tres-Zap,Drama|War
50,BLU,11/19/2024,Zathin,Comedy|Drama
59,Lava,4/30/2024,Tempsoft,Drama
32,Sony,12/25/2023,Namfix,Drama|War|Western
72,Sewon,7/15/2020,Fintone,Drama
82,Huawei,10/19/2022,Sub-Ex,Crime|Drama|Film-Noir
67,Samsung,4/14/2020,Daltfresh,Comedy|Crime|Drama
40,alcatel,4/27/2020,Domainer,Crime|Drama|Thriller
83,Samsung,3/30/2025,Mat Lam Tam,Drama|Romance
89,BLU,7/5/2020,Lotlux,Drama
39,Samsung,6/28/2024,Greenlam,Comedy
66,Wiko,12/9/2021,Tin,Action|Comedy|Horror|Thriller
28,BlackBerry,9/3/2022,Daltfresh,Comedy|Drama|Romance
32,Mitsubishi,11/3/2023,Asoka,Drama|Film-Noir
13,Motorola,12/18/2020,Namfix,Action|Animation|Sci-Fi
38,Infinix,2/24/2023,Pannier,Action|Children|Comedy|Romance
94,Nokia,12/7/2023,Bamity,Drama|Fantasy|Romance|Sci-Fi
6,Pantech,6/25/2022,Alpha,Drama
67,Meizu,4/7/2023,Stim,Documentary
33,Motorola,1/1/2021,Ventosanzap,Documentary
1,Toshiba,4/30/2022,Prodder,Drama
21,OnePlus,5/31/2021,Kanlam,Comedy
45,Plum,1/15/2023,Bitchip,Horror|Mystery|Thriller
27,LG,1/2/2021,Stringtough,Comedy
40,Motorola,5/15/2024,Y-find,Children|Comedy|Drama
24,Samsung,4/18/2024,Andalax,Comedy|Drama
39,Motorola,5/7/2020,Gembucket,Comedy|Drama|Romance|War
53,Sony,11/20/2020,Span,Documentary
72,Philips,9/24/2022,Tin,Children|Comedy
94,Kyocera,10/27/2022,Treeflex,Documentary
97,vivo,2/22/2024,Redhold,Action|Adventure|Comedy|Drama|Mystery|Romance|Thriller
54,BLU,7/7/2023,Alpha,Drama|Romance
74,Samsung,3/14/2022,Stringtough,Comedy|Romance
95,Xiaomi,11/24/2024,Lotstring,Adventure|Drama|Sci-Fi
52,T-Mobile,5/12/2020,Redhold,Drama
45,Motorola,1/3/2023,Cardify,Animation|Children|Comedy|Crime
96,Samsung,7/17/2021,Bytecard,Drama|Romance
73,LG,12/22/2021,Lotlux,Documentary|Drama
10,Plum,7/28/2024,Bitwolf,Animation|Children|Fantasy
18,Sony,9/8/2023,Opela,Documentary
80,Xiaomi,11/8/2020,Flowdesk,Mystery|Thriller
11,Samsung,3/25/2020,Transcof,Sci-Fi
69,alcatel,4/6/2021,Lotlux,Comedy
25,Sagem,1/13/2024,Sonair,Documentary
91,Sagem,11/30/2024,Mat Lam Tam,Animation|Comedy
71,HTC,4/5/2025,Latlux,Crime|Drama
71,HTC,9/6/2022,Fintone,Action|Adventure|Drama|Sci-Fi
36,Samsung,5/16/2023,Biodex,Drama
2,Sony,6/16/2020,Fix San,Drama
60,BLU,1/25/2021,Asoka,Horror|Sci-Fi
27,Huawei,9/23/2022,Opela,Drama
12,Samsung,2/13/2021,Stronghold,Drama|Romance
91,alcatel,5/13/2025,Treeflex,Adventure|Children|Documentary|Drama
43,Siemens,10/7/2024,Mat Lam Tam,Comedy|Horror|Sci-Fi
17,Allview,6/6/2022,Zontrax,Comedy|Crime
86,Samsung,7/25/2021,Asoka,Drama|Romance
14,BLU,2/20/2023,Voyatouch,Comedy|Crime|Romance
86,Samsung,6/3/2023,Span,Drama
58,Xiaomi,9/26/2022,Gembucket,Drama
89,Vodafone,1/2/2024,Konklab,Action|Romance|Western
57,Nokia,12/6/2022,Tresom,Action|Fantasy|Horror|Thriller
19,Xiaomi,5/15/2024,Zoolab,Drama
78,Spice,3/19/2024,Temp,Animation|Children|Musical
6,LG,10/27/2023,Vagram,Crime|Drama|Thriller
27,Telit,11/9/2021,Lotlux,Drama
1,Motorola,3/20/2024,Zoolab,Documentary
95,Gionee,5/30/2023,Flexidy,Adventure|Romance|Western
97,Nokia,10/28/2020,Alphazap,Action|Comedy|Romance
51,Realme,11/20/2024,Stronghold,Drama
80,Gigabyte,1/14/2021,Kanlam,Comedy|Crime
77,Samsung,2/20/2025,Zoolab,Comedy|Drama
58,Realme,7/6/2020,Konklux,Drama|Thriller
13,Acer,1/16/2022,Otcom,Comedy|Drama|Romance
61,Oppo,2/2/2025,Prodder,Comedy|Drama
61,LG,11/7/2024,Namfix,Documentary
23,Asus,8/15/2024,Flowdesk,Comedy|Documentary
71,NEC,1/8/2022,Kanlam,Documentary
23,Nokia,10/17/2021,Stronghold,Sci-Fi
38,verykool,6/17/2021,Domainer,Comedy|Romance
60,Philips,5/27/2021,Quo Lux,Drama|War
80,alcatel,4/22/2020,Bitwolf,Drama
61,LG,5/2/2023,Greenlam,Comedy
26,ZTE,5/7/2020,Flexidy,Comedy
14,Motorola,2/2/2023,Transcof,Children|Drama
7,Motorola,2/16/2020,Konklab,Drama|Romance
26,Microsoft,2/4/2020,Kanlam,Drama
67,Nokia,9/3/2022,Domainer,Horror
83,Celkon,2/10/2024,Otcom,Comedy
89,Nokia,9/13/2021,Cookley,Comedy
74,LG,4/28/2025,Biodex,Action|Adventure|Drama|Thriller|War
73,Acer,12/9/2024,Biodex,Crime|Film-Noir|Horror|Romance|Thriller
79,verykool,1/2/2023,Opela,Documentary
15,ZTE,7/9/2023,Sonsing,Drama|Romance
82,LG,10/17/2024,Tempsoft,Comedy|Drama
42,Nokia,4/28/2020,Lotlux,Adventure|Children|Comedy|Fantasy
35,Maxwest,5/19/2022,Tresom,Crime|Drama
29,Plum,1/20/2025,Fix San,Children|Comedy
81,Micromax,7/10/2021,Lotstring,Comedy|Crime
60,Energizer,9/9/2022,Ronstring,Comedy|Drama
23,BlackBerry,2/7/2023,Duobam,Horror|Sci-Fi|Thriller
7,Apple,4/28/2024,Treeflex,Adventure|Drama|War
79,Acer,10/8/2022,Bigtax,Comedy|Drama
66,Yezz,9/20/2021,Toughjoyfax,Thriller
52,Nokia,12/31/2024,Trippledex,Drama
66,Sonim,4/17/2023,Span,Documentary
82,HTC,2/19/2022,It,Drama|Romance|War
44,Nokia,4/27/2023,Pannier,Comedy|Drama|Romance
87,LG,9/15/2024,Zoolab,Drama
64,Prestigio,2/25/2023,Prodder,Comedy
34,Sony,2/23/2022,Voltsillam,Crime|Drama
65,Lava,7/14/2021,Asoka,Action|Sci-Fi
35,HTC,6/23/2020,Latlux,Action|Adventure
77,Allview,9/5/2020,Aerified,Action|Adventure|Fantasy
25,QMobile,12/6/2023,Otcom,Action|Adventure|Comedy|Crime
12,Celkon,12/13/2021,Lotstring,Drama|Mystery|Romance
57,Palm,7/20/2023,Regrant,Drama
17,Wiko,9/6/2024,Wrapsafe,Comedy|Drama|Romance
44,BLU,7/23/2022,Trippledex,(no genres listed)
30,LG,11/30/2024,Lotstring,Action
77,Icemobile,3/17/2021,Zathin,Drama
72,Lenovo,12/31/2021,Cookley,Drama|Fantasy|Romance
62,Archos,11/18/2022,Holdlamis,Comedy
92,ZTE,8/9/2023,Transcof,Drama
95,Nokia,8/8/2024,Solarbreeze,Documentary
7,Siemens,1/21/2020,Matsoft,Drama
21,alcatel,1/11/2021,Veribet,Comedy
27,Samsung,8/10/2021,Ronstring,Comedy
1,Wiko,3/28/2024,Stronghold,Action|Comedy
3,Tecno,7/7/2024,Trippledex,Action
75,Samsung,10/15/2023,Span,Crime|Drama|Thriller
48,Samsung,6/1/2024,Voyatouch,Comedy|Fantasy|Horror|Romance
69,Sewon,5/29/2022,Domainer,Comedy|Drama|Romance
49,Samsung,7/28/2024,Fix San,Comedy
6,Pantech,6/16/2021,Ventosanzap,Action|Adventure|Animation|Comedy|Sci-Fi
22,Spice,8/31/2024,Voyatouch,Drama|Romance
12,Archos,2/9/2020,Overhold,Drama
47,LG,5/18/2022,Y-find,Comedy|Romance
53,Ulefone,2/4/2021,Tin,Drama
65,Sony,9/7/2024,Y-Solowarm,Documentary
20,Huawei,7/22/2021,Domainer,Action|Crime|Drama|Thriller
50,BLU,5/24/2021,Biodex,Drama
63,Apple,11/4/2020,Span,Drama
34,Asus,7/25/2024,Quo Lux,Drama|Fantasy|Horror|Thriller
81,Honor,6/14/2021,Gembucket,Drama|War
10,Samsung,5/13/2020,Hatity,Horror
37,Philips,7/19/2021,Stronghold,Animation|Children
85,LG,6/11/2023,Flexidy,Animation|Comedy
43,Energizer,8/25/2021,Tampflex,Documentary
93,Icemobile,6/11/2023,Temp,Crime|Drama|Mystery
59,LG,7/11/2023,Biodex,Drama
86,NEC,1/14/2025,Biodex,Drama
82,Micromax,11/6/2021,Home Ing,Comedy|Horror|Sci-Fi|Thriller
64,Samsung,9/18/2023,Tampflex,Comedy|Drama
33,Palm,10/31/2022,Bamity,Action|Adventure|Animation|Children|Comedy|Fantasy
96,Plum,1/30/2020,Otcom,Animation|Fantasy
85,Asus,7/6/2020,Redhold,Adventure|Drama
29,HTC,10/9/2020,Stronghold,Drama
78,Haier,9/26/2020,Bamity,Adventure|Drama
35,Samsung,1/7/2022,Aerified,Drama
25,Samsung,9/5/2022,Voltsillam,Comedy|Drama
43,NEC,4/2/2022,Sub-Ex,Comedy|Drama
67,Sonim,10/8/2023,Keylex,Crime|Drama|Thriller
29,Asus,12/4/2023,Konklux,Children|Comedy
47,Motorola,1/4/2021,Tres-Zap,Action|Animation|Crime|Thriller
98,Sagem,4/5/2022,Sub-Ex,Animation|Comedy|Drama|Musical
80,alcatel,12/28/2024,Transcof,Drama|Thriller
77,HTC,9/21/2023,Stronghold,Adventure
65,Motorola,11/15/2021,Fix San,Crime|Drama
59,Xiaomi,5/2/2024,Home Ing,Drama
31,Xiaomi,2/25/2024,Transcof,Drama
6,Panasonic,3/11/2025,Voyatouch,Comedy
88,Samsung,10/7/2022,Zathin,Documentary
88,LG,11/20/2022,Konklab,Adventure|Comedy|Fantasy
23,Samsung,12/2/2021,Treeflex,Documentary
35,Sony,2/2/2024,Rank,Documentary
41,Motorola,4/25/2021,Prodder,Documentary
59,i-mate,9/21/2024,Wrapsafe,Drama|Thriller
82,Huawei,3/23/2025,Toughjoyfax,Drama
79,Nokia,4/22/2020,Konklux,Horror|Thriller
20,Acer,5/5/2020,Zathin,Drama
62,Honor,11/26/2020,Lotstring,Comedy|Romance
55,Motorola,7/30/2024,Bytecard,Drama|War
90,Huawei,3/18/2022,Alpha,Comedy|Drama
13,Samsung,8/17/2024,Bytecard,Drama|Thriller
98,ZTE,1/29/2020,Treeflex,Drama
18,ZTE,6/30/2024,Pannier,Horror
87,Mitac,2/2/2020,Temp,Comedy|Romance
65,Samsung,9/8/2020,Stronghold,Documentary
13,Philips,11/6/2021,Bitchip,Drama
56,ZTE,5/15/2024,Solarbreeze,Comedy
72,alcatel,11/3/2020,Zoolab,Documentary|Musical
60,Philips,7/17/2022,Overhold,Comedy|Romance
48,Amoi,9/18/2023,Namfix,Horror|Romance|Sci-Fi
26,Samsung,6/14/2022,Span,Documentary
69,LG,3/10/2025,Regrant,Comedy|Drama
46,NEC,11/12/2020,Y-find,Comedy
85,Sony,12/9/2024,Asoka,Comedy
47,ZTE,11/9/2021,Rank,Comedy|Romance
88,Huawei,10/10/2021,Vagram,Action|Horror|Thriller
68,Nokia,10/23/2020,Konklux,Adventure|Drama
20,ZTE,10/12/2021,Rank,Comedy
75,Samsung,3/21/2021,Mat Lam Tam,Drama
13,Icemobile,4/12/2023,Andalax,Comedy|Drama|Thriller
81,Acer,11/18/2021,Bytecard,Action|Adventure|Comedy|Crime
70,Honor,4/10/2023,Regrant,Action|Drama|Romance|Thriller
47,Nokia,1/25/2024,Duobam,Drama|Romance
70,Gigabyte,2/8/2024,Zoolab,Crime|Drama|Western
70,LG,7/24/2020,Zaam-Dox,Horror
32,Vertu,4/5/2021,Treeflex,Horror|Mystery|Thriller
29,BlackBerry,1/31/2023,Y-find,Comedy|Romance
3,Samsung,4/11/2023,Cookley,Comedy
15,QMobile,1/6/2021,Quo Lux,Comedy|Musical|Romance
8,BLU,10/22/2024,Otcom,Adventure|Children|Sci-Fi
63,Panasonic,7/29/2021,Rank,Comedy
7,vivo,1/4/2024,Konklab,Drama
53,Asus,2/8/2024,Asoka,Animation|Children|Musical
12,Micromax,4/4/2023,Zaam-Dox,(no genres listed)
90,Asus,3/17/2020,Bigtax,Adventure|Children|Fantasy
99,LG,2/12/2020,Ventosanzap,Action|Adventure|Fantasy|Romance
91,Philips,1/24/2022,Alpha,Action|Adventure|Animation
97,Plum,9/19/2022,Keylex,Comedy|Drama|War
100,Motorola,6/14/2021,Voyatouch,Comedy
89,Sony,2/29/2024,Temp,Fantasy|Horror|Sci-Fi|Thriller
58,Motorola,11/6/2022,Matsoft,Adventure|Comedy|Drama|Fantasy|Mystery|Sci-Fi|Thriller
36,ZTE,3/29/2023,Sub-Ex,Drama
37,Allview,7/29/2024,Viva,Documentary
70,Plum,10/13/2021,Sonair,Comedy|Drama
22,NEC,10/29/2023,Domainer,Drama
29,verykool,6/28/2020,Tresom,Sci-Fi
91,Innostream,2/15/2020,Tres-Zap,Crime|Drama
70,Celkon,1/30/2024,Aerified,Animation|Children|Comedy|Fantasy|Musical
21,Archos,6/17/2023,Tin,Action|Sci-Fi
36,Samsung,9/29/2022,Flexidy,Drama
41,Samsung,4/22/2024,Namfix,Documentary
74,HTC,12/2/2020,Bigtax,Drama|Mystery
16,Samsung,10/1/2020,Tresom,Comedy
59,Philips,10/15/2020,Otcom,Drama
18,Yezz,8/29/2024,Gembucket,Documentary
64,Samsung,10/9/2020,Solarbreeze,Comedy|Fantasy|Romance
81,Huawei,4/25/2021,Temp,Drama|Musical
44,Lenovo,3/12/2021,Lotstring,Drama|Thriller
55,Sagem,5/2/2022,Namfix,Drama
76,Sagem,2/8/2023,Alpha,Action|Thriller|War
90,BlackBerry,8/2/2021,Cookley,Drama
75,Bird,3/30/2024,Hatity,Action|Adventure|Drama
61,Tecno,5/15/2020,It,Horror
26,Samsung,2/28/2022,Veribet,Action|Adventure|Thriller
55,Allview,10/15/2022,Y-find,Documentary
59,Celkon,2/17/2023,Zaam-Dox,Crime|Drama|Thriller
29,Philips,2/27/2025,Tres-Zap,Comedy
8,Huawei,8/12/2020,Wrapsafe,Action|Adventure|Thriller|IMAX
17,Nokia,6/5/2021,Regrant,Drama
1,Motorola,7/22/2024,Zathin,Comedy|Drama|Romance
81,LG,2/4/2021,Viva,Drama
24,alcatel,12/4/2021,Y-Solowarm,Drama
26,Sagem,7/11/2022,Alpha,Comedy|Drama
11,Panasonic,5/1/2025,Viva,Drama
66,BQ,5/15/2023,Treeflex,Horror|Thriller
41,vivo,10/27/2024,Lotlux,Drama|Mystery|Thriller
33,XOLO,6/2/2022,Zathin,Drama|Mystery|Romance
94,Motorola,2/4/2020,Veribet,Comedy|Crime|Romance|Thriller
30,Samsung,3/17/2022,Viva,Action|Adventure|Drama
