idAAv,titre,createur,note,explication
369,Fanny,Jodie McElane,4,
675,Restoration,Melloney Mapledoore,1,
649,"Blood of a Poet, The (Sang d'un poète, Le)",Steffie Matantsev,8,
705,David and Lisa,Woodie Isenor,3,
635,Paths of Hate,Toby Colquete,1,
216,Mystery Train,Gilbertina Surmeyer,7,
731,Fahrenheit 451,Darla Doick,9,
554,Where Angels Fear to Tread,Lazarus Heeron,8,Pourrait être amélioré.
86,Thunderbirds Are GO,Taddeusz Risby,7,
826,Tarzan Escapes,Guntar Deakins,3,
514,21 tapaa pilata avioliitto,Benedikta Elsbury,7,
567,Food (Jídlo),Olympia Jordan,2,Excellent travail de création.
660,Zu: Warriors from the Magic Mountain (Xin shu shan jian ke),Ardelis Croneen,7,Super intéressant.
836,Through a Glass Darkly (Såsom i en spegel),Prescott Roskam,0,
26,Bitter Creek,Chaunce Bridgstock,3,
252,"Lady of Chance, A",Nevile Wolverson,10,
353,Vertical Features Remake,Ashbey Yurmanovev,6,
772,Keep the River on Your Right: A Modern Cannibal Tale,Prudi Rutherford,7,Peu convaincant.
112,"Marquise of O, The (Marquise von O..., Die)",Agnes Heugle,8,
514,Criminals,Oona Dibling,9,
540,Three Lives and Only One Death (Trois vies & une seule mort),Isabelle Jankovsky,9,
874,"Portrait of a Lady, The",Vina Deeny,1,
979,My Boyfriend's Back,Leigh Earry,8,
419,Revenge of the Nerds,Quintana Di Angelo,9,
1014,Just Imagine,Andrea Hollingby,9,
826,Naked,Yardley Freegard,0,
576,"Spy Who Came in from the Cold, The",Bartholomeus Monkley,8,
181,Woman Thou Art Loosed,Ines Chyuerton,10,
317,Wild Is the Wind,Carmencita Meynell,3,
29,Heavy Metal 2000,Merrily Peyton,2,
833,Stone Reader,Casey Ellson,2,Pas ce que j'attendais.
655,"Merry Jail, The (Das fidele Gefängnis)",Cynde Stowgill,1,
688,That's What I Am,Gabriello Larkins,2,
252,Vampire's Kiss,Mikel Briscow,0,
520,Growth,Griffin Melior,2,Correct mais sans plus.
386,Fear Clinic,Justine Kamenar,9,
612,In Gold We Trust (600 kilos d'or pur),Gaile Braxton,10,
812,"Experiment, The",Gale Tetford,7,Peu convaincant.
829,"Miracle of Morgan's Creek, The",Renate Eggleston,7,
311,How to Make a Monster,Reynolds Garnam,2,
881,Jamilya,Alysia Cutchie,6,A revoir.
844,Universal Soldier: Regeneration,Joelle Joburn,3,
501,Ants in the Pants 2,Lonnie Speeks,7,Correct mais sans plus.
786,Invaders from Mars,Eadie Stealfox,5,Peu convaincant.
72,Jolene,Thea Connold,10,
931,Soundbreaker ,Aubrette Paulat,6,
113,Ca$h,Doralia Scamerdine,3,
831,Strawberry and Chocolate (Fresa y chocolate),Aeriela Simmen,3,
891,"Night at the Roxbury, A",Goran Dorrity,3,
925,Zombie Girl: The Movie,Billie Denzey,0,
784,Scrooged,Janette Comello,10,
680,Turkish Passion (La pasión turca),Pippo Dufton,8,Super intéressant.
369,"Tale of Winter, A (a.k.a. A Winter's Tale) (Conte d'hiver)",Barnett Hensmans,0,
309,Mighty Morphin Power Rangers: The Movie,Emanuel Redmire,6,
854,Lost Horizon,Vittorio Grinstead,4,
767,Tomorrow Never Dies,Chantalle Decaze,8,
352,Year of the Dragon,Tania Glassborow,10,
938,Combat Girls (Kriegerin),Betta Vuitte,5,
463,My Week with Marilyn,Scarlet Lyosik,9,
683,Young Bess,Tobi Whapples,3,
763,Costa Brava,Cosimo Girardetti,0,Assez décevant.
758,"King of Escape, The (Le roi de l'évasion)",Ula Dummer,5,
350,"Garden of the Finzi-Continis, The (Giardino dei Finzi-Contini, Il)",Charlene Minico,3,
460,Purge (Puhdistus),Geordie Rollinson,8,
514,Sydney (Hard Eight),Lina Spreull,7,
58,What Women Want (a.k.a. I Know a Woman's Heart),Milo Hazeldene,5,Assez décevant.
608,On Probation (Tiempo de Valientes),Vasilis Kach,5,
618,Ginger & Rosa,Kittie Caberas,8,
182,"Night at the Roxbury, A",Goran Dorrity,10,
240,Hyde Park on Hudson,Andrew Bellward,5,Recommande vivement.
636,The Package,Gelya Atkins,7,
782,Sundays and Cybele (Les dimanches de Ville d'Avray),Gabriellia Sexti,0,
619,The Disappearance of Eleanor Rigby: Her,Elsie Duff,6,
911,"Monster, The (Mostro, Il)",Lisetta Fundell,7,
590,Two Thousand Maniacs!,Fanya Fahy,9,
1028,Tongan Ninja,Jilly Trayte,4,
172,Hungry for Change,Carita Mainwaring,9,
590,My Way,Bing Jaffra,5,
614,Home,Mariette Danit,2,
299,Hara-Kiri: Death of a Samurai,Randi Amps,4,
904,Nazty Nuisance,Abe Tedorenko,0,
427,"East, West, East: The Final Sprint",Hailey Dykins,3,
681,Hollywood Party,Claire Gatherer,8,Très satisfait du contenu.
303,"Price of Milk, The",Cam Jukubczak,7,
585,Antiviral,Sigmund Janousek,5,
411,The Puzzle,Renard Charke,5,
762,Running Time,Cordy Allso,0,
290,Lassie,Twyla D'Alwis,3,
288,The Third Half,Hilton Whysall,4,
645,Silentium,Sukey Tipple,4,
823,"Cool, Calm and Collected (Calmos)",Reuben Leyzell,6,
359,Bad Santa,Mufi Parker,3,
1035,Mortel transfert,Corbie O'Flaherty,9,Pourrait être amélioré.
439,What's Love Got to Do with It?,Aluino Drillingcourt,1,
1014,Bread and Roses,Jo ann Garrit,1,
893,The Detective 2,Florian Sirman,0,
101,Best Men,Kincaid Stenton,5,
386,"Canterbury Tales, The (I racconti di Canterbury)",Shay Batie,4,
318,Rhyme & Reason,Mariam Mulran,5,
847,"Myth of the American Sleepover, The",Desiri Knibbs,0,
404,Head of State,Natale Wadesworth,6,
118,"Bon Voyage, Charlie Brown (and Don't Come Back!)",Nonie Guilloton,0,
44,Blind Faith,Stefa Knottley,0,
241,Is Anybody There?,Derrik Manoch,6,
47,"Sixth of the World, A (Shestaya chast mira)",Malvin Roe,7,Pas ce que j'attendais.
248,Hum Dil De Chuke Sanam,Lily Barrell,6,
346,"Angel Levine, The",Foster Neubigin,0,Très satisfait du contenu.
550,Mulholland Falls,Braden January 1st,0,
6,Sam Peckinpah: Man of Iron,Dulcie Chastanet,3,
174,Catch .44,Gradey Tipling,10,
777,"Cathedral, The (Katedra)",Thekla Grassi,9,Assez décevant.
683,"Philadelphia Experiment, The",Weider Toopin,0,
42,Bad Girl Island (Sirens of Eleuthera) (Sirens of the Caribbean),Anette Perren,1,
1024,"Aries Spears: Hollywood, Look I'm Smiling",Novelia Melvin,8,
444,Legend of the Lost,Marshal Dalrymple,5,
329,Three Colors: Blue (Trois couleurs: Bleu),Antonetta Carsberg,2,
931,"Good Morning, Babylon",Ninnetta Mulbry,8,
246,Pinocchio,Mechelle Brussell,5,
632,Tomie: Unlimited,Mable Kinlock,3,
614,Long Live Death (Viva la muerte),Pauletta Alywin,5,
530,Bucktown,Hilario Arrundale,1,
65,Fearless,Tasia MacKey,0,
1037,"Great Ecstasy of Woodcarver Steiner, The (Große Ekstase des Bildschnitzers Steiner, Die)",Ara Moulding,1,
752,Death of a Bureaucrat (La muerte de un burócrata),Adler Eddoes,6,Très satisfait du contenu.
312,Sebastian Maniscalco: What's Wrong with People?,Roldan Keppe,10,
734,"Cat Concerto, The",Ethelred Stubbs,10,
1002,First Monday in October,Pennie Warrier,6,
493,"Times of Harvey Milk, The",Justine Hugett,0,Très satisfait du contenu.
465,Russian Ark (Russkiy Kovcheg),Brion Beatey,3,Pourrait être amélioré.
999,Burke and Hare,Deina Boneham,7,
815,One Little Indian,Barbara-anne Suffe,6,
1042,Suspect Zero,Eddy Longlands,4,
241,The Detective 2,Florian Sirman,2,
275,"Ultimate Warrior, The",Bengt Courtliff,6,
84,Meat Love,Abeu Abbots,10,Pourrait être amélioré.
495,Blitz,Gannon Harriot,0,
960,Captain EO,Benoit Domenc,1,
788,Stand-In,Aldwin Verlander,0,
116,Cuba,Korey McCurry,5,
517,Dr. Who and the Daleks,Janine Cromett,4,Peu convaincant.
205,Den enskilde medborgaren,Laina Pascoe,9,
72,"Battle of Shaker Heights, The",Jacki Parmiter,2,
332,"Beast from 20,000 Fathoms, The",Rozina Deane,9,
449,Heir to an Execution,Kendra Lace,8,
265,"Andromeda Strain, The",Alica Baitey,1,
766,Chocchan's Story (Chocchan monogatari),Olvan Edgeson,3,
480,"Princess and the Warrior, The (Krieger und die Kaiserin, Der)",Roselle Eakins,1,
720,Hitch,Lucia Hairon,7,Pas ce que j'attendais.
300,Elle: A Modern Cinderella Tale,Arv Joskowicz,7,
1010,Kwik Stop,Oswald Sotworth,1,
306,"Skin I Live In, The (La piel que habito)",Ashleigh O'Kennedy,7,Pas ce que j'attendais.
693,Crisis (Kris),Talya Joscelyn,2,Très satisfait du contenu.
223,Super Rich: The Greed Game,Jillene Favela,6,
72,Breaking Away,Colline Dalgliesh,10,Pas ce que j'attendais.
545,"Incredible Hulk, The",Neils Pointon,6,
675,Barefoot in the Park,Odele Lorentzen,6,
1002,Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Sanders Guyver,4,
343,"Thin Man, The",Bruno Caplan,7,Pas ce que j'attendais.
732,Nick the Sting,Kathryn Rollin,2,Recommande vivement.
825,"Doom Generation, The",Corenda Trenam,10,
535,Annie Get Your Gun,Temple McCloud,6,
658,Nightmare Alley,Geoffry Lipp,0,
851,Battle of the Bulge,Zabrina Segges,4,
735,"Return, The",Lotte Jozef,6,
79,Tales of Vesperia: The First Strike (Teiruzu obu vesuperia: The first strike),Alison Ryall,3,
147,Speed & Angels,Yovonnda Silversmidt,6,
984,Bloody Sunday,Celene Marchi,10,
116,Princess Aurora (Orora gongju),Dorothee Remer,4,
61,Which Way to the Front?,Gareth Hallgarth,3,
326,Pokémon the Movie: Black - Victini and Reshiram,Mimi Ferrarini,1,A revoir.
403,Sonny,Trip McManamon,4,Super intéressant.
216,"Self-Made Hero, A (Un héros très discret)",Nariko Bastard,8,
94,Nine Queens (Nueve reinas),Annie Monsey,10,
658,Mortal Thoughts,Vladamir Hedderly,2,
1043,Invisible Ghost,Averil Coulston,0,
656,Orders to Kill,Una Strahan,8,
379,"Good Son, The",Gianina Pummery,6,
893,Heavy Metal 2000,Merrily Peyton,0,
982,"Diaries of Vaslav Nijinsky, The",Dorey Evison,5,Très satisfait du contenu.
722,The Last Journey,Abby Coghill,1,
802,"Mysterious Lady, The",Andrew McWaters,2,
964,Beautiful Joe,Timmy Cuncarr,10,
426,Pushing Hands (Tui shou),Timofei Roache,0,
24,Transformers: Age of Extinction,Sybil Issakov,9,Assez décevant.
862,"Leslie, My Name is Evil (Manson, My Name is Evil)",Virginie Fitchet,10,
203,Time Changer,Keely Urpeth,9,
448,"Boy in Blue, The",Kippy Dickinson,9,Excellent travail de création.
847,Tarda estate,Cristina Penniall,6,
924,Freeloaders,Patricia Royle,7,
599,"Pretty One, The",Berkley Lamke,1,
574,Mein Leben - Marcel Reich-Ranicki,Arie Giorgioni,0,Pas ce que j'attendais.
270,Flirtation Walk,Janeva Meeland,0,
507,Liberty Kid,Dorothy Craigheid,10,
610,I giorni contati,Curcio Linnell,10,
616,The Hire: Ticker,Zola Renbold,3,
11,Watchmen: Tales of the Black Freighter,Ewell Falconar,7,
354,Clean,Adham Wanka,0,Super intéressant.
255,"To Have, or Not (En avoir (ou pas))",Far Stockton,4,
446,Invaders from Mars,Eadie Stealfox,3,Super intéressant.
447,Visitor to a Museum (Posetitel muzeya),Leslie Alton,9,
10,Sometimes in April,Jackie Hum,6,Excellent travail de création.
317,"Goodnight, Mister Tom",Grethel Canizares,8,Correct mais sans plus.
524,"Letter to Three Wives, A",Edy Hatfield,5,
468,Warning Shadows (Schatten - Eine nächtliche Halluzination),Robbyn Thowes,5,
409,Zatoichi's Flashing Sword (Zatôichi abare tako) (Zatôichi 7),Sacha Cobbald,5,
652,Cry Baby Lane,Bryana Kinningley,7,
1023,Heroes for Sale,Mack Morphet,6,
1057,Buffy the Vampire Slayer,Nichols Lampitt,4,
309,Watchmen: Tales of the Black Freighter,Ewell Falconar,0,Recommande vivement.
747,Where Do We Go Now?,Shelbi Pauleit,1,
216,"Night of the Hunter, The",Vicky Salamon,1,
819,The Puzzle,Renard Charke,10,
462,Social Genocide (Memoria del saqueo),Avram Rosa,2,
125,"Rewrite, The",Jayme Zappel,5,
62,"Wonderful Ice Cream Suit, The",Waldo Dugget,8,
205,Head of State,Natale Wadesworth,3,
803,The Gambler,Hayyim Moyers,2,Recommande vivement.
823,Free Birds,Hattie Brodie,4,
606,"Burmese Harp, The (Biruma no tategoto)",Coral Rowly,9,A revoir.
314,Judas Kiss,Mark Endrighi,6,
102,Harakiri (Seppuku),Mark Padgett,7,
819,"Secret, The",Carmina Iverson,9,
681,Murder by Proxy: How America Went Postal,Seana McMurty,2,
449,"Angus, Thongs and Perfect Snogging",Dallis Drewry,9,
783,"Girl on the Train, The",Bennie Chaise,8,
291,Four Adventures of Reinette and Mirabelle (4 aventures de Reinette et Mirabelle),Sandy Lorinez,2,
932,Sydney (Hard Eight),Dulcy Huebner,0,Très satisfait du contenu.
62,"Unknown Known, The",Pet Bazire,10,Peu convaincant.
750,Tiger Eyes,Karin McRitchie,5,
155,Four Shades of Brown (Fyra nyanser av brunt),Terrence Laverick,6,
274,"Boy in Blue, The",Kippy Dickinson,5,
17,Dark Tide,Kevin Van der Velde,5,
569,42 Up,Stephenie McGrah,3,
277,Telefon,Vi Dulson,8,
544,Bunraku,Meaghan Putton,2,
537,Oranges and Sunshine,Gamaliel Rosbrough,7,
372,Shogun Assassin,Candra Upfold,6,
292,My Man and I,Krystal Fazackerley,10,
598,Assault on Precinct 13,Marylou Stickles,10,
600,Treeless Mountain,Ab Pittet,2,
489,"Kid Stays in the Picture, The",Trudie Billyeald,0,
447,Passion,Roldan Garth,3,Peu convaincant.
121,Harry Potter and the Goblet of Fire,Genna Morena,2,
580,Going Down in LA-LA Land,Briana Freke,5,
764,Tart,Jedidiah Babington,3,
862,Love (Szerelem),Benn Swinnerton,4,
177,Springfield Rifle,Lewes McGarrity,2,
88,The Black Rose,Hyman Misk,8,Excellent travail de création.
463,Werckmeister Harmonies (Werckmeister harmóniák),Josephine Mant,8,
535,Die,Grover Jendrach,4,Pas ce que j'attendais.
253,El Lobo,Felizio Domenichelli,6,
1063,Hum Dil De Chuke Sanam,Lily Barrell,3,
278,White Dog,Nettle Bibbie,1,
623,Flight of the Conchords: A Texan Odyssey,Elora Dalgety,1,Assez décevant.
503,"Slaughter Rule, The",Rube Horbart,6,
21,A Mulher Invisível,Hanni Boyer,9,
380,30 Beats,Catlin Forrest,10,Pas ce que j'attendais.
834,The Boys,Ariela Sandeman,10,
11,Welcome to the Space Show (Uchû shô e yôkoso),Jarrad Boys,4,
728,Making the Earth Stand Still,Rakel O'Daly,3,
665,I Served the King of England (Obsluhoval jsem anglického krále),Ardyce McNee,4,
723,Happy New Year (La Bonne Année),Pepillo Jendas,6,
344,Two Thousand Maniacs!,Fanya Fahy,9,
1050,Viva Las Vegas,Jehu Pickerin,7,
601,Enemy at the Gates,Ogdon Anfossi,4,
554,"Wrestler, The (Painija)",Nedda Gohn,3,
972,A Good Marriage,Karel Janton,2,
211,"Walk on the Moon, A",Normand Milazzo,10,
301,Who Killed Bambi? (Qui a tué Bambi?),Baillie Cockaday,7,
763,"Thousand Clowns, A",Kimbra Gowler,2,Très satisfait du contenu.
853,Treasure Planet,Tirrell Brockie,0,
918,Tactical Force,Holmes Burnand,0,
364,Drummer-Crab (Le Crabe-Tambour),Quintilla Tunbridge,4,
339,Quill,Reeba Swatman,1,
913,Crazy for Christmas,Kermie Sorey,8,
600,"Town, The",Dulcine Besnardeau,7,
702,Django,Tiena Irnis,1,Pas ce que j'attendais.
211,American Promise,Pepe Kneesha,1,
346,"Times of Harvey Milk, The",Justine Hugett,0,
137,The Gardener,Wanda Doulton,5,
