idAAc,genre,prix,date_achat
364,bijoux,9.99,11/2/2023
884,Yoga,8.49,8/19/2023
1170,Sport d’hiver,7.99,1/16/2025
210,Cyclisme,3.29,6/15/2021
972,Maquillage,12.99,12/1/2022
931,Maquillage,2.49,9/27/2024
603,bien-être,4.49,12/30/2021
292,nettoyage,22.99,1/23/2023
65,Parfums,2.49,10/22/2022
571,musculation,19.99,
805,Parfums,6.99,2/5/2024
887,Cyclisme,15.49,9/18/2021
1147,Objets connectés,4.99,4/28/2025
445,accessoires,12.99,1/4/2024
755,Sports d’équipe,5.99,
273,Produits bio,19.99,2/17/2021
748,Parfums,6.49,9/19/2021
179,thé,2.09,
508,Sports d’équipe,5.49,12/18/2023
242,Entretien,39.99,6/12/2022
799,Accessoires voiture,1.89,9/22/2020
395,électroménager,5.49,
1273,thé,2.99,1/26/2024
337,Ordinateurs,3.99,2/18/2021
1204,électroménager,2.99,11/3/2021
938,Sacs,15.99,12/29/2022
820,Sports nautiques,14.99,12/9/2023
165,chambre,19.99,5/2/2021
368,Soins de la peau,2.99,7/12/2021
140,chambre,1.79,4/27/2021
317,Vêtements bébé,3.99,7/27/2022
19,musculation,5.99,5/10/2024
844,Soins de la peau,2.49,
1234,Running,19.99,5/7/2022
356,Yoga,1.99,1/5/2023
937,Alimentation vegan,49.99,
610,Camping,79.99,
1027,bien-être,54.99,10/10/2021
863,Vêtements homme,29.99,
425,Mobilier,24.99,4/16/2021
208,Vêtements bébé,6.99,4/16/2021
650,Sport d’hiver,349.99,4/11/2023
939,Sport d’hiver,9.99,
806,Sports nautiques,8.49,
490,Literie,19.99,11/11/2022
710,nettoyage,109.99,4/22/2024
236,course à pied,59.99,5/3/2022
241,Accessoires voiture,149.99,4/3/2023
991,Literie,5.49,1/1/2024
1099,Jouets éducatifs,9.99,
166,Cuisine,5.99,1/18/2025
101,Puériculture,45.99,3/21/2024
766,Sports d’équipe,27.99,4/18/2024
270,nettoyage,2.99,
1157,spiritueux,5.99,4/3/2023
1064,tablettes,99.99,1/12/2023
226,casques,24.99,2/7/2023
453,Pilates,3.49,3/4/2021
1161,électroménager,1.99,
146,Produits bio,24.99,8/4/2024
1028,casques,1.99,
1133,Camping,4.49,6/29/2023
596,Produits capillaires,39.99,10/13/2024
184,Audio,6.99,12/24/2022
550,outils,3.99,8/3/2022
36,Photo,4.79,4/3/2023
854,Vêtements bébé,24.99,8/11/2020
133,musculation,2.99,4/6/2024
754,bien-être,2.49,7/21/2020
133,nettoyage,22.99,11/13/2021
591,casques,2.99,7/16/2023
297,Jeux de société,299.99,3/22/2025
175,thé,4.99,
691,Pièces détachées,14.99,3/15/2023
273,accessoires,69.99,
462,Entretien,22.99,11/16/2021
496,Objets connectés,3.99,9/11/2022
12,Audio,2.49,10/7/2023
345,Gaming,3.29,7/17/2024
1082,Running,79.99,3/28/2025
214,Pièces détachées,4.49,4/10/2025
1265,Jeux de société,34.99,6/23/2021
1170,Sports d’équipe,39.99,6/30/2023
857,Smartphones,12.99,
527,consoles,49.99,5/14/2021
464,Café,9.99,4/6/2023
178,musculation,5.99,11/16/2021
857,bagages,3.49,
456,consoles,19.99,1/28/2022
511,Pièces détachées,9.99,
761,Accessoires voiture,2.49,1/7/2022
398,accessoires,49.99,6/20/2021
788,enfant,3.49,12/29/2023
596,randonnée,39.99,
1134,Sports nautiques,2.29,3/9/2024
480,femme,99.99,9/1/2020
136,Objets connectés,29.99,2/28/2021
1103,Accessoires voiture,4.29,
357,Sports nautiques,1.99,10/8/2024
282,Montres,4.29,5/11/2021
792,Santé,4.29,9/16/2021
1018,tablettes,45,10/12/2020
400,Lunettes de soleil,3.49,5/15/2023
1252,Chaussures,44.99,11/13/2024
624,Pièces détachées,18.99,8/19/2020
1225,Running,3.49,9/20/2022
77,Cuisine,3.99,
1022,Alimentation vegan,14.99,8/18/2024
7,Literie,5.49,7/21/2024
171,Décoration intérieure,5.99,
978,Ordinateurs,5.99,1/23/2021
796,Jouets éducatifs,7.99,1/5/2021
976,Montres,4.19,11/6/2023
545,Sports d’équipe,2.49,1/16/2021
1172,outils,3.99,5/11/2023
418,bien-être,4.99,2/9/2025
455,Lunettes de soleil,3.99,
1105,tablettes,19.99,
565,Audio,49.99,7/8/2023
1074,Objets connectés,3.99,
738,Accessoires voiture,14.99,3/16/2025
408,Objets connectés,39.99,
310,Soins de la peau,8.99,5/1/2025
197,Chaussures,29.99,
752,consoles,39.99,11/4/2024
967,Audio,39.99,
253,Accessoires voiture,3.49,9/19/2024
158,Produits bio,19.99,11/15/2021
604,Pilates,2.49,1/24/2025
609,Lunettes de soleil,39.99,7/1/2022
694,Accessoires voiture,34.99,
800,femme,4.99,
314,Sports nautiques,3.59,2/26/2022
1023,Maquillage,24.99,8/24/2022
593,Pièces détachées,39.99,6/2/2021
332,tablettes,3.29,2/24/2021
841,Photo,39.99,10/25/2020
517,Santé,4.79,1/12/2024
164,électroménager,79.99,11/22/2024
181,thé,54.99,9/21/2024
583,Maquillage,24.99,2/1/2021
1137,Pièces détachées,34.99,12/6/2022
949,vidéo,12.99,11/27/2021
807,chambre,4.59,6/10/2020
193,outils de jardin,3.99,3/4/2023
269,Éclairage,5.99,11/5/2023
151,Produits bio,3.99,
1102,Camping,2.79,10/3/2023
924,Cuisine,9.99,2/20/2023
331,Puériculture,49.95,12/26/2022
1057,femme,15.99,3/27/2021
916,Parfums,5.99,8/8/2021
901,Objets connectés,24.99,
948,bijoux,4.99,12/19/2020
884,électroménager,5.99,5/1/2025
16,vidéo,2.79,5/2/2025
333,Camping,49.99,8/6/2022
644,Objets connectés,5.29,
923,Soins de la peau,4.79,4/29/2024
717,Lunettes de soleil,3.99,
598,Sport d’hiver,129.99,2/28/2021
542,Cuisine,7.99,12/21/2024
725,Gaming,2.79,
5,domotique,39.99,
887,vidéo,5.49,
505,consoles,12.99,9/2/2022
29,Jouets éducatifs,2.99,
201,vidéo,4.99,6/2/2023
371,Montres,4.29,1/16/2024
1130,Jardinage,39.99,5/27/2022
945,Produits capillaires,3.49,11/21/2023
1044,spiritueux,49.99,1/9/2022
575,Jeux de société,29.99,
730,femme,24.99,12/26/2023
1236,musculation,109.99,1/9/2024
709,Camping,39.99,1/19/2022
163,Cyclisme,19.99,1/7/2021
397,Entretien,2.39,11/8/2024
1053,Audio,2.99,8/6/2022
574,enfant,29.99,7/27/2024
309,bijoux,14.99,
583,Ordinateurs,49.99,11/4/2021
997,Accessoires voiture,34.99,
770,bijoux,58.99,6/30/2022
624,Sports nautiques,3.99,
685,Vêtements homme,2.29,5/16/2021
903,Soins de la peau,1.29,4/15/2023
711,Produits capillaires,39.99,
568,Sports nautiques,3.99,12/21/2023
1284,domotique,34.99,3/9/2024
722,femme,4.99,10/23/2024
276,Produits bio,29.99,9/7/2020
593,randonnée,3.99,3/14/2025
1259,Camping,4.49,11/18/2024
1062,Santé,9.99,9/9/2022
1127,Vêtements bébé,69.99,
859,Gaming,7.99,3/23/2021
594,Sports nautiques,69.99,7/9/2022
108,Jeux de société,3.49,7/17/2024
775,Gaming,4.99,2/28/2025
956,vidéo,9.99,6/10/2023
1160,Yoga,19.99,4/8/2021
602,tablettes,3.49,4/20/2021
1049,Audio,19.99,9/26/2024
1171,Pièces détachées,2.49,5/8/2024
1266,chambre,3.79,5/16/2023
29,bien-être,12.99,2/1/2021
263,bijoux,22.99,8/22/2022
633,Éclairage,3.79,
228,Vins,19.99,8/25/2023
1209,électroménager,1.89,5/9/2021
1111,Jardinage,49.99,6/3/2021
402,Jardinage,24.99,
271,Jeux de société,12.99,12/10/2022
627,électroménager,49.99,7/21/2020
113,Éclairage,3.49,8/16/2020
1193,Jouets éducatifs,19.99,
343,enfant,59.99,3/14/2025
51,Sport d’hiver,2.49,2/18/2022
922,Sport d’hiver,4.79,2/16/2025
1277,Vêtements homme,11.99,6/2/2021
994,consoles,39.99,7/21/2021
1221,spiritueux,22.99,9/19/2024
1276,électroménager,29.99,9/7/2022
645,Santé,4.29,
302,Vêtements bébé,2.79,6/30/2020
313,Santé,129.99,3/20/2025
834,Pièces détachées,5.49,9/27/2022
522,Maquillage,2.49,6/28/2024
590,Sacs,3.29,6/8/2022
253,Entretien,3.99,11/14/2024
902,Entretien,4.29,7/28/2024
705,Running,1.99,8/19/2022
1225,Bricolage,7.99,4/11/2024
400,vidéo,5.99,7/9/2020
376,Camping,19.99,6/26/2023
1243,Literie,5.99,10/29/2024
114,Santé,2.99,
835,musculation,4.49,
93,bien-être,34.99,1/11/2024
383,musculation,19.99,
208,Smartphones,89.99,9/14/2023
783,Chaussures,2.99,11/19/2023
20,Jouets éducatifs,3.29,
1108,Jouets éducatifs,29.99,1/28/2024
1019,Yoga,24.99,
1026,Literie,3.99,10/8/2023
1269,vidéo,19.99,10/23/2020
386,bijoux,39.99,7/7/2020
34,Puériculture,24.99,
40,Café,49.99,12/25/2022
620,Photo,19.99,
498,Cuisine,139.99,
222,Yoga,6.49,10/15/2021
92,enfant,14.99,
454,consoles,19.99,4/3/2023
558,Sports nautiques,69.99,9/13/2023
424,Jardinage,5.99,8/4/2021
471,Sport d’hiver,3.49,12/31/2024
642,enfant,9.49,10/10/2020
750,Mobilier,29.99,
232,Camping,2.99,4/17/2022
873,accessoires,3.99,12/27/2023
299,Fitness,2.99,6/16/2021
627,bien-être,3.29,3/27/2023
524,vidéo,149.99,10/26/2020
1083,Entretien,14.99,6/7/2024
1157,Sports nautiques,34.99,1/9/2022
1247,Produits capillaires,29.99,10/11/2021
1276,musculation,199.99,
14,chambre,49.99,12/9/2021
1135,nettoyage,2.99,1/28/2024
1212,Cyclisme,2.29,7/6/2023
3,Running,3.79,
272,accessoires,2.49,
1197,outils,24.99,
250,Maquillage,19.99,
253,Alimentation vegan,15.99,11/26/2022
513,Smartphones,2.99,7/8/2021
106,Pièces détachées,5.29,1/21/2025
119,Jeux de société,19.99,6/8/2023
1053,Produits capillaires,4.99,11/14/2024
88,Jeux de société,19.99,11/22/2020
380,randonnée,2.29,8/28/2022
719,Ordinateurs,2.49,9/9/2021
815,thé,24.99,9/11/2020
111,Mobilier,24.99,8/9/2021
357,femme,5.99,5/29/2024
370,Photo,3.29,2/18/2025
1116,Maquillage,1.79,8/14/2022
176,Ordinateurs,22.99,6/29/2022
1140,Lunettes de soleil,9.99,11/14/2021
975,Montres,39.99,7/17/2021
48,bagages,1.99,
72,Accessoires voiture,2.99,10/5/2024
931,Soins de la peau,199.99,11/10/2024
120,Produits bio,2.49,
614,bagages,39.99,
654,Accessoires voiture,4.49,7/19/2024
61,enfant,49.99,
1049,Cuisine,2.79,
1200,Ordinateurs,4.49,5/7/2022
1288,Yoga,3.99,3/24/2025
850,électroménager,14.99,4/10/2023
1031,Literie,5.99,
1113,Café,19.99,7/23/2023
1213,bagages,19.99,10/21/2020
13,Camping,19.99,10/30/2020
223,casques,4.49,4/23/2022
597,nettoyage,2.79,9/27/2020
775,outils,69.99,12/20/2024
792,enfant,2.99,5/14/2024
565,femme,3.99,9/12/2024
379,Mobilier,2.99,
610,Literie,69.99,6/11/2022
806,Gaming,34.99,6/16/2020
445,Sport d’hiver,14.99,
23,Sports d’équipe,3.99,8/18/2022
882,domotique,5.49,
517,Santé,24.99,10/19/2021
96,Maquillage,24.99,6/18/2021
514,Décoration intérieure,4.99,
241,Literie,5.89,7/3/2022
50,Cuisine,29.99,7/8/2021
278,femme,29.99,11/27/2024
1181,Sacs,149.99,8/10/2023
1015,Jeux de société,249.99,4/9/2021
1,Running,4.99,7/12/2021
558,spiritueux,14.99,12/13/2023
387,Literie,49.99,7/15/2021
1127,Yoga,19.99,
513,Soins de la peau,25.99,9/8/2022
724,enfant,64.99,7/15/2024
1156,Sports d’équipe,14.99,5/9/2025
33,Montres,12.99,12/18/2020
846,tablettes,5.79,6/5/2020
1031,Running,4.89,2/18/2021
597,casques,149.99,6/12/2021
860,Sports d’équipe,44.99,11/4/2022
531,thé,49.99,7/2/2021
899,Mobilier,2.49,8/30/2020
828,accessoires,2.49,
532,bien-être,3.99,3/1/2025
263,Yoga,39.99,3/13/2021
1245,spiritueux,10.99,1/8/2023
310,chambre,59.99,7/7/2021
118,Vêtements bébé,49.99,5/18/2021
767,spiritueux,7.49,8/9/2024
208,Santé,24.99,
248,Lunettes de soleil,3.49,
1145,Jeux de société,12.99,6/8/2021
340,randonnée,199.99,6/18/2024
151,Gaming,6.99,
329,Sports d’équipe,34.99,
10,Café,5.49,7/31/2023
51,Pilates,39.99,3/29/2024
76,Jardinage,10.99,8/23/2024
548,Yoga,14.99,
1077,Produits bio,2.99,
825,Vins,59.99,
1058,Santé,12.99,10/27/2020
123,Maquillage,2.79,12/4/2020
162,bien-être,89.99,7/11/2022
760,Éclairage,4.29,9/4/2021
879,Jeux de société,19.99,1/16/2021
1182,Gaming,4.99,
932,Sports d’équipe,19.99,1/29/2021
74,Running,8.99,2/9/2023
307,vidéo,2.79,3/13/2024
381,bien-être,14.99,11/13/2023
842,musculation,22.99,8/19/2022
28,Vins,19.99,5/30/2022
951,Pièces détachées,2.79,9/22/2021
290,Vêtements homme,29.99,9/9/2023
643,accessoires,49.99,
1031,Sport d’hiver,2.49,
140,Pièces détachées,299.99,6/7/2022
21,Literie,2.49,2/24/2024
813,tablettes,19.99,3/12/2023
1278,Sacs,79.99,4/11/2021
1281,Soins de la peau,3.59,12/31/2023
1063,Yoga,8.99,
489,Éclairage,7.99,5/26/2024
383,Gaming,1.29,
459,randonnée,5.89,12/4/2023
899,Jouets éducatifs,3.99,6/3/2021
751,Smartphones,14.99,5/13/2022
378,bagages,59.99,
1183,Parfums,8.99,5/9/2022
225,Objets connectés,9.99,
845,tablettes,2.49,
328,Éclairage,2.99,1/28/2023
74,Vêtements homme,3.49,5/28/2020
166,vidéo,24.99,10/13/2021
386,Montres,5.99,12/14/2022
51,Cuisine,5.49,10/15/2021
1285,Chaussures,5.79,2/20/2021
304,Parfums,99.99,4/30/2021
206,Sacs,12.99,1/18/2023
808,chambre,99.99,6/22/2020
771,Puériculture,12.99,11/23/2024
255,Jouets éducatifs,59.99,9/15/2024
821,Accessoires voiture,10.99,9/7/2022
1233,Cyclisme,8.99,3/5/2023
740,Fitness,10.99,
12,vidéo,3.99,3/25/2023
1001,Jeux de société,49.99,
54,Jardinage,9.99,2/7/2021
946,Photo,89.99,12/12/2024
373,électroménager,19.99,9/14/2022
848,bijoux,1.99,3/16/2024
393,bagages,169.99,7/30/2023
731,Pièces détachées,3.79,7/16/2021
248,Camping,34.99,1/10/2024
1232,Literie,89.99,
56,Cuisine,2.99,8/13/2024
1147,casques,3.29,5/31/2023
225,Jeux de société,3.89,
269,Produits capillaires,3.99,1/8/2025
562,Puériculture,5.99,10/26/2021
1284,Café,29.99,5/24/2021
1182,consoles,49.99,
1053,Alimentation vegan,54.99,9/30/2024
865,consoles,4.99,6/12/2021
45,Vins,24.99,6/11/2022
746,Photo,3.99,7/5/2022
783,Jouets éducatifs,4.89,3/26/2025
903,Pilates,39.99,7/11/2024
333,Vêtements bébé,169.99,4/26/2025
515,outils de jardin,29.99,
1277,Café,14.99,
440,Café,6.49,6/12/2022
263,course à pied,29.99,6/27/2023
1137,Smartphones,3.29,7/9/2021
484,Cyclisme,49.95,
355,randonnée,34.99,2/16/2025
1285,domotique,2.79,8/25/2021
718,spiritueux,3.29,8/23/2021
1040,Running,12.99,
355,Entretien,5.99,
249,Sport d’hiver,4.99,
620,Décoration intérieure,29.99,
1003,Alimentation vegan,22,7/6/2022
52,Sacs,4.09,2/12/2023
1266,Pilates,3.79,3/26/2021
683,spiritueux,39.99,11/8/2023
209,consoles,89.99,4/18/2024
1191,consoles,34.99,12/12/2023
21,Pièces détachées,24.99,6/30/2024
463,femme,17.99,4/23/2023
418,course à pied,5.49,7/5/2020
1285,Montres,9.49,9/7/2022
481,course à pied,49.99,
1207,Yoga,25.99,
502,Chaussures,49.99,4/5/2023
160,Vins,2.49,11/17/2021
647,outils,29.99,6/21/2020
793,Vêtements homme,5.99,9/22/2022
1267,Jeux de société,199.99,7/4/2024
519,enfant,24.99,9/27/2021
677,Vêtements homme,59.99,2/22/2022
226,Soins de la peau,1.89,7/14/2023
711,Chaussures,5.49,
1074,course à pied,34.99,
249,outils de jardin,12.99,1/4/2023
1135,Accessoires voiture,1.89,8/17/2021
1061,course à pied,49.99,1/27/2021
851,Décoration intérieure,2.29,8/10/2022
129,Pièces détachées,3.79,8/14/2023
1236,Parfums,1.29,
885,Éclairage,3.99,7/25/2022
770,chambre,89.99,
456,tablettes,0.99,5/25/2022
488,Ordinateurs,1.99,
435,randonnée,34.99,
606,Alimentation vegan,4.99,4/27/2023
1048,Mobilier,7.99,5/10/2025
1030,Ordinateurs,0.79,10/11/2024
201,casques,2.49,12/11/2021
528,Café,29.99,
140,Accessoires voiture,7.99,
236,Cuisine,29.99,
642,femme,349.99,3/20/2024
966,Vins,24.99,1/9/2025
1009,Photo,8.49,12/28/2020
1240,Sports d’équipe,2.29,1/4/2024
837,Audio,45,
1198,chambre,24.99,5/9/2025
978,enfant,39.99,5/23/2022
253,Smartphones,3.49,10/30/2021
388,Produits capillaires,8.99,11/14/2021
135,casques,3.79,11/26/2022
565,Santé,1.89,8/7/2020
688,chambre,39.99,2/24/2023
831,consoles,24.99,5/31/2022
1040,Jeux de société,3.79,
617,Gaming,4.49,2/14/2021
436,Vêtements homme,3.59,12/1/2022
985,nettoyage,29.99,7/19/2024
444,électroménager,7.99,
1021,bijoux,3.99,2/13/2023
1260,Yoga,8.99,3/4/2024
823,Maquillage,2.49,9/3/2021
525,Vêtements bébé,3.99,9/20/2023
894,Alimentation vegan,2.99,
1224,spiritueux,45.99,10/31/2022
290,Accessoires voiture,19.99,7/1/2022
719,domotique,3.79,2/5/2025
801,Jouets éducatifs,3.99,7/28/2023
1250,Sacs,2.79,4/29/2023
758,Literie,2.99,6/23/2024
966,course à pied,24.99,4/12/2021
388,musculation,17.99,4/12/2023
330,Sports d’équipe,109.99,
1259,Camping,5.99,
729,Soins de la peau,29.99,3/14/2024
270,Produits bio,1.99,7/5/2023
975,Santé,29.99,9/10/2024
239,Montres,7.99,
647,Literie,14.99,11/24/2022
1083,Produits bio,34.99,3/23/2025
507,Pièces détachées,22.99,7/2/2021
250,Cuisine,34.99,7/20/2021
209,domotique,19.99,9/5/2023
289,Cuisine,8.99,7/19/2020
1185,Café,3.49,5/16/2021
718,domotique,3.49,5/27/2020
1196,Vins,19.99,6/6/2021
24,Yoga,8.99,11/30/2024
553,bagages,2.99,
693,Produits capillaires,4.29,11/29/2022
120,Cuisine,29.99,11/24/2022
80,enfant,45.99,2/26/2025
1028,Cuisine,59.99,6/30/2022
726,Sports d’équipe,22.99,6/30/2020
353,Sports nautiques,49.99,3/11/2023
288,Literie,3.49,5/5/2024
1136,électroménager,0.99,10/15/2021
916,femme,3.29,9/9/2023
4,Produits bio,24.99,
566,Produits bio,22.99,9/14/2024
297,Vêtements homme,3.49,2/2/2022
65,Jeux de société,9.99,6/5/2020
1215,Éclairage,4.29,
1022,chambre,3.99,7/15/2020
782,Soins de la peau,34.99,3/10/2021
104,Sports d’équipe,4.99,11/23/2022
26,bagages,10.99,11/18/2023
667,Ordinateurs,3.29,
37,Literie,49.99,12/25/2021
986,femme,29.99,5/1/2022
521,Sacs,1.29,11/8/2022
862,Jeux de société,59.99,8/17/2021
226,Bricolage,14.99,10/1/2023
400,outils,79.99,
84,spiritueux,29.99,11/20/2020
643,Audio,9.99,2/14/2025
1126,Fitness,22.99,
1201,Café,3.79,8/31/2023
1188,Montres,12.99,5/25/2021
367,Cyclisme,24.99,6/17/2021
729,outils de jardin,2.29,11/15/2021
768,accessoires,5.99,9/27/2021
7,enfant,19.99,5/6/2025
874,musculation,12.99,6/11/2024
764,Bricolage,3.69,6/9/2024
1081,Pilates,29.99,2/21/2024
1173,Mobilier,49.99,2/9/2023
1084,thé,119.99,5/15/2021
391,Produits bio,22.99,3/1/2022
39,tablettes,19.99,5/15/2021
416,domotique,349.99,10/22/2024
1284,Alimentation vegan,299.99,1/28/2022
1044,Chaussures,89.99,11/11/2020
475,vidéo,2.99,7/26/2020
845,Running,69.99,
45,outils de jardin,3.99,
600,Jouets éducatifs,3.49,5/7/2023
461,Literie,3.99,11/1/2023
714,outils de jardin,359.99,6/26/2024
675,Sacs,39.99,11/6/2021
1256,course à pied,2.49,10/18/2020
587,Objets connectés,2.09,11/17/2024
246,accessoires,3.49,
1244,randonnée,49.99,1/6/2022
106,Produits capillaires,5.49,9/27/2022
412,Parfums,29.99,2/6/2022
885,Santé,4.49,8/16/2021
642,Produits bio,49.99,12/11/2024
